IdPuntoRecarga|Operador|Direccion|CodPostal|Provincia|Municipio|Localizacion|CoordenadaXDec|CoordenadaYDec|PotenciaMaxima
ES*IBD*E251406|IBERDROLA CLIENTES S.A.U|Pg. Industrial Sapre Parcela 8 G Inversiones Ricamar * Torrecilla,2|30800|MURCIA|LORCA|APARCAMIENTO ÁEREO|-1.688773|37.67383|7.40
ES*IBD*E250035|IBERDROLA CLIENTES S.A.U|Alameda,13|33770|ASTURIAS|VEGADEO|EN LA CALLE|-7.051358|43.464362|7.40
ES*IBD*E249807|IBERDROLA CLIENTES S.A.U|Des Bons Temps,S/N|7560|BALEARES|SANT LLORENC DES CARDASSAR|APARCAMIENTO EN SUPERFICIE|3.378536|39.592675|22.00
ES*IBD*E251062|IBERDROLA CLIENTES S.A.U|Diez,1|28292|MADRID|EL ESCORIAL|APARCAMIENTO ÁEREO|-4.059724|40.600763|7.40
ES*IBD*E251108|IBERDROLA CLIENTES S.A.U|Josep Mª Folch I Torres,7|43006|TARRAGONA|TARRAGONA|APARCAMIENTO ÁEREO|1.203645|41.130704|22.00
ES*IBD*E262126|IBERDROLA CLIENTES S.A.U|Andalucia,1|11008|CADIZ|CADIZ|APARCAMIENTO ÁEREO|-6.282162|36.518439|7.40
ES*IBD*E263266|IBERDROLA CLIENTES S.A.U|Manacor,22|7006|BALEARES|PALMA DE MALLORCA|APARCAMIENTO EN SUPERFICIE|2.660326|39.570962|22.00
ES*IBD*E263176|IBERDROLA CLIENTES S.A.U|Numero Tres (Z. Franca),50|8040|BARCELONA|BARCELONA|APARCAMIENTO ÁEREO|2.131381|41.336359|22.00
ES*ESX*E23XC11M2J03DB001811|ENDESA X WAY S.L.|Rua do Restollal, 24|15702|Coruña, A|Santiago de Compostela|GARAJE SUBTERRÁNEO|-8.543768|42.864819|6.99
ES*ESX*E23XC11M2J03DB001871|ENDESA X WAY S.L.|Rua do Restollal, 24|15702|Coruña, A|Santiago de Compostela|GARAJE SUBTERRÁNEO|-8.543768|42.864819|6.99
